dataset,round_digits,depth,n_train,n_test,n_features,n_equalities,config,time_sec,gap_pct,objective,lp_value,nodes_bb,err_train,err_test
iris,none,2,120,30,4,0,sans_egalites,6.112,0.0,115.0,120.0,1389,5,1
iris,none,2,120,30,4,285,avec_egalites,4.797,0.0,115.0,120.0,1187,5,1
iris,none,3,120,30,4,0,sans_egalites,52.49,0.0,120.0,120.0,5282,0,1
iris,none,3,120,30,4,285,avec_egalites,20.429,0.0,120.0,120.0,3254,0,4
iris,1,2,120,30,4,0,sans_egalites,4.271,0.0,115.0,120.0,491,5,1
iris,1,2,120,30,4,2952,avec_egalites,7.663,0.0,115.0,120.0,365,5,2
iris,1,3,120,30,4,0,sans_egalites,60.124,2.5641,117.0,120.0,5460,3,1
iris,1,3,120,30,4,2952,avec_egalites,60.196,2.5641,117.0,120.0,3311,3,2
iris,2,2,120,30,4,0,sans_egalites,6.818,0.0,115.0,120.0,1071,5,1
iris,2,2,120,30,4,285,avec_egalites,7.334,0.0,115.0,120.0,1625,5,1
iris,2,3,120,30,4,0,sans_egalites,16.757,0.0,120.0,120.0,1783,0,4
iris,2,3,120,30,4,285,avec_egalites,60.147,0.8403,119.0,120.0,5440,1,1
seeds,none,2,168,42,6,0,sans_egalites,55.841,0.0,158.0,168.0,14464,10,3
seeds,none,2,168,42,6,0,avec_egalites,49.779,0.0,158.0,168.0,14462,10,3
seeds,none,3,168,42,6,0,sans_egalites,60.124,5.0,160.0,168.0,6354,8,4
seeds,none,3,168,42,6,0,avec_egalites,60.195,3.7037,162.0,168.0,5894,6,3
seeds,1,2,168,42,6,0,sans_egalites,17.614,0.0,152.0,168.0,5894,16,4
seeds,1,2,168,42,6,1047,avec_egalites,22.352,0.0,152.0,168.0,6614,16,4
seeds,1,3,168,42,6,0,sans_egalites,60.127,10.5263,152.0,168.0,8953,16,2
seeds,1,3,168,42,6,1047,avec_egalites,60.137,7.0064,157.0,168.0,6506,11,2
seeds,2,2,168,42,6,0,sans_egalites,35.623,0.0,158.0,168.0,10966,10,2
seeds,2,2,168,42,6,0,avec_egalites,34.31,0.0,158.0,168.0,10966,10,2
seeds,2,3,168,42,6,0,sans_egalites,60.088,7.0064,157.0,168.0,10902,11,3
seeds,2,3,168,42,6,0,avec_egalites,60.063,7.6923,156.0,168.0,10851,12,3
wine,none,2,142,36,13,0,sans_egalites,53.985,0.0,137.0,142.0,17752,5,2
wine,none,2,142,36,13,0,avec_egalites,55.407,0.0,137.0,142.0,17737,5,2
wine,none,3,142,36,13,0,sans_egalites,60.162,12.6984,126.0,142.0,4202,16,5
wine,none,3,142,36,13,0,avec_egalites,60.15,11.811,127.00000000000125,142.0,4693,15,5
wine,1,2,142,36,13,0,sans_egalites,23.063,0.0,135.0,142.0,6087,7,3
wine,1,2,142,36,13,0,avec_egalites,22.669,0.0,135.0,142.0,6087,7,3
wine,1,3,142,36,13,0,sans_egalites,60.086,5.9701,134.0,142.0,7008,8,7
wine,1,3,142,36,13,0,avec_egalites,60.087,5.9701,134.0,142.0,7037,8,7
wine,2,2,142,36,13,0,sans_egalites,60.068,2.4133,136.0,142.0,21944,6,1
wine,2,2,142,36,13,0,avec_egalites,60.071,2.4306,136.0,142.0,21501,6,1
wine,2,3,142,36,13,0,sans_egalites,60.069,1.4286,140.0,142.0,7418,2,2
wine,2,3,142,36,13,0,avec_egalites,60.082,1.4286,140.0,142.0,7410,2,2
glass,none,2,171,43,9,0,sans_egalites,60.062,26.9603,109.0,152.0,21635,62,16
glass,none,2,171,43,9,11,avec_egalites,60.094,20.2641,115.0,152.0,21010,56,16
glass,none,3,171,43,9,0,sans_egalites,60.086,66.0194,103.0,171.0,2122,68,19
glass,none,3,171,43,9,11,avec_egalites,60.085,76.2886,97.0,171.0,2625,74,25
glass,1,2,171,43,9,0,sans_egalites,58.219,0.0,113.0,152.0,36317,58,16
glass,1,2,171,43,9,36,avec_egalites,60.07,6.0405,113.0,152.0,32955,58,16
glass,1,3,171,43,9,0,sans_egalites,60.076,96.5516,87.0,171.0,1931,84,24
glass,1,3,171,43,9,36,avec_egalites,60.088,58.3333,108.0,171.0,3522,63,18
glass,2,2,171,43,9,0,sans_egalites,60.066,28.3941,108.0,152.0,23500,63,15
glass,2,2,171,43,9,9,avec_egalites,60.06,17.0453,114.0,152.0,28166,57,14
glass,2,3,171,43,9,0,sans_egalites,60.124,83.8709,93.0,171.0,1946,78,20
glass,2,3,171,43,9,9,avec_egalites,60.099,78.1249,96.0,171.0,1945,75,20
ecoli,none,2,217,55,7,0,sans_egalites,21.564,0.0,210.0,217.0,4797,7,6
ecoli,none,2,217,55,7,0,avec_egalites,19.75,0.0,210.0,217.0,4797,7,6
ecoli,none,3,217,55,7,0,sans_egalites,60.134,21.229,179.0,217.0,2473,38,14
ecoli,none,3,217,55,7,0,avec_egalites,60.126,21.229,179.0,217.0,2472,38,14
ecoli,1,2,217,55,7,0,sans_egalites,12.059,0.0,207.0,217.0,2791,10,8
ecoli,1,2,217,55,7,2,avec_egalites,21.183,0.0,207.0,217.0,5024,10,8
ecoli,1,3,217,55,7,0,sans_egalites,60.111,6.3725,204.0,217.0,3228,13,4
ecoli,1,3,217,55,7,2,avec_egalites,60.156,15.4255,188.0,217.0,3308,29,9
ecoli,2,2,217,55,7,0,sans_egalites,38.662,0.0,210.0,217.0,3694,7,6
ecoli,2,2,217,55,7,0,avec_egalites,28.885,0.0,210.0,217.0,3694,7,6
ecoli,2,3,217,55,7,0,sans_egalites,60.138,7.4257,202.0,217.0,7234,15,9
ecoli,2,3,217,55,7,0,avec_egalites,60.142,7.4257,202.0,217.0,7171,15,9
