dataset,depth,n_train,n_test,config,time_sec,gap_pct,objective,err_train,err_test,parity_gap,eq_opp_gap
iris,2,120,30,sans_equite,1.3408,0.0,115.0,5,1,0.7,0.0
iris,2,120,30,contrainte_stricte_demographic_parity,7.0271,0.0,77.0,43,15,0.0,0.0
iris,2,120,30,contrainte_tolerance_demographic_parity,6.2631,0.0,86.0,34,6,0.15,0.302326
iris,2,120,30,penalite_demographic_parity,7.2488,0.0,77.0,43,13,0.0,0.046512
iris,3,120,30,sans_equite,8.4346,0.0,120.0,0,4,0.7,0.0
iris,3,120,30,contrainte_stricte_demographic_parity,185.889,0.0,78.0,42,4,0.0,0.372093
iris,3,120,30,contrainte_tolerance_demographic_parity,300.0377,29.6822,87.0,33,13,0.15,0.0
iris,3,120,30,penalite_demographic_parity,79.2656,0.0,78.0,42,3,0.0,0.837209
seeds,2,168,42,sans_equite,6.0128,0.0,158.0,10,2,0.019419,0.116809
seeds,2,168,42,contrainte_stricte_demographic_parity,205.8247,0.0,115.0,53,17,0.0,0.0
seeds,2,168,42,contrainte_tolerance_demographic_parity,9.3827,0.0,158.0,10,2,0.019419,0.116809
seeds,2,168,42,penalite_demographic_parity,18.6565,0.0,156.44649184975196,10,2,0.019419,0.116809
seeds,3,168,42,sans_equite,300.6905,3.7037,162.0,6,1,0.042665,0.116809
seeds,3,168,42,contrainte_stricte_demographic_parity,300.0429,46.0869,115.0,53,17,0.0,0.0
seeds,3,168,42,contrainte_tolerance_demographic_parity,301.3679,1.8182,165.0,3,1,0.031184,0.001425
seeds,3,168,42,penalite_demographic_parity,300.0556,4.693,160.4691708808505,6,3,0.019135,0.002849
wine,2,142,36,sans_equite,9.0257,0.0,137.0,5,2,0.595791,0.5
wine,2,142,36,contrainte_stricte_demographic_parity,190.5788,0.0,96.0,46,13,0.0,0.0
wine,2,142,36,contrainte_tolerance_demographic_parity,46.4309,0.0,111.0,31,12,0.141354,0.047619
wine,2,142,36,penalite_demographic_parity,50.9448,0.0,101.93587453948918,39,15,0.013302,0.190476
wine,3,142,36,sans_equite,40.8834,0.0,142.0,0,6,0.553901,0.0
wine,3,142,36,contrainte_stricte_demographic_parity,300.0384,51.0638,94.0,48,15,0.0,0.0
wine,3,142,36,contrainte_tolerance_demographic_parity,300.0365,25.6637,113.0,29,10,0.147905,0.261905
wine,3,142,36,penalite_demographic_parity,300.0326,38.4619,102.55529092772682,39,9,0.005559,0.833333
glass,2,171,43,sans_equite,45.1019,0.0,115.0,56,16,0.192202,0.069892
glass,2,171,43,contrainte_stricte_demographic_parity,177.8877,0.0,90.0,81,26,0.0,0.0
glass,2,171,43,contrainte_tolerance_demographic_parity,123.2225,0.0,110.0,61,18,0.145691,0.004032
glass,2,171,43,penalite_demographic_parity,293.3671,0.0,101.80848169714771,65,21,0.052394,0.110215
glass,3,171,43,sans_equite,300.0483,23.5955,134.0,37,14,0.191382,0.102151
glass,3,171,43,contrainte_stricte_demographic_parity,300.0452,89.9999,90.0,81,23,0.0,0.0
glass,3,171,43,contrainte_tolerance_demographic_parity,300.0448,36.8,125.0,46,14,0.08632,0.069892
glass,3,171,43,penalite_demographic_parity,300.0323,47.1085,115.65800281597811,53,17,0.029275,0.028226
ecoli,2,217,55,sans_equite,3.6152,0.0,210.0,7,6,0.55601,0.045455
ecoli,2,217,55,contrainte_stricte_demographic_parity,300.0354,38.6705,112.0,105,24,0.0,0.0
ecoli,2,217,55,contrainte_tolerance_demographic_parity,23.5653,0.0,172.0,45,14,0.148679,0.044444
ecoli,2,217,55,penalite_demographic_parity,31.1986,0.0,165.51918158567776,7,6,0.55601,0.045455
ecoli,3,217,55,sans_equite,300.0401,0.9346,214.0,3,5,0.575618,0.045455
ecoli,3,217,55,contrainte_stricte_demographic_parity,300.0513,93.7499,112.0,105,24,0.0,0.0
ecoli,3,217,55,contrainte_tolerance_demographic_parity,300.0547,24.7126,174.0,43,11,0.148679,0.033333
ecoli,3,217,55,penalite_demographic_parity,300.09,29.2047,167.95055421469735,3,5,0.575618,0.045455
