dataset,depth,n_train,n_test,n_features_orig,n_features_aug,k_added,config,time_sec,gap_pct,objective,tree_n_splits,err_train,err_test
iris,2,120,30,4,4,0,sans_nouvelles_features,3.671,0.0,115.0,3,5,1
iris,3,120,30,4,4,0,sans_nouvelles_features,11.886,0.0,120.0,7,0,4
iris,2,120,30,4,9,5,avec_nouvelles_features,7.77,0.0,115.0,3,5,1
iris,3,120,30,4,9,5,avec_nouvelles_features,34.4,0.0,120.0,7,0,1
seeds,2,168,42,6,6,0,sans_nouvelles_features,38.689,0.0,158.0,3,10,3
seeds,3,168,42,6,6,0,sans_nouvelles_features,60.104,4.3478,161.0,7,7,2
seeds,2,168,42,6,11,5,avec_nouvelles_features,26.024,0.0,157.9999999999999,3,10,3
seeds,3,168,42,6,11,5,avec_nouvelles_features,60.099,5.6604,159.0,7,9,5
wine,2,142,36,13,13,0,sans_nouvelles_features,27.941,0.0,137.0,3,5,2
wine,3,142,36,13,13,0,sans_nouvelles_features,60.109,4.4118,136.0,7,6,3
wine,2,142,36,13,18,5,avec_nouvelles_features,25.217,0.0,140.0,3,2,1
wine,3,142,36,13,18,5,avec_nouvelles_features,53.849,0.0,142.0,7,0,1
glass,2,171,43,9,9,0,sans_nouvelles_features,60.081,13.4907,115.0,3,56,16
glass,3,171,43,9,9,0,sans_nouvelles_features,60.192,39.0244,123.0,7,48,22
glass,2,171,43,9,14,5,avec_nouvelles_features,60.044,21.3213,111.0,3,60,16
glass,3,171,43,9,14,5,avec_nouvelles_features,60.088,50.0,114.0,7,57,16
ecoli,2,217,55,7,7,0,sans_nouvelles_features,12.84,0.0,210.0,3,7,6
ecoli,3,217,55,7,7,0,sans_nouvelles_features,60.07,5.3398,206.0,7,11,8
ecoli,2,217,55,7,12,5,avec_nouvelles_features,43.737,0.0,210.0,3,7,6
ecoli,3,217,55,7,12,5,avec_nouvelles_features,60.165,4.3269,208.0,7,9,6
