dataset,depth,n_train,n_test,n_features,config,time_sec,gap_pct,objective,err_train,err_test
iris,2,120,30,4,5.1_standard,0.157,0.0,0.7999999999999999,24,5
iris,2,120,30,4,5.2_ES,0.092,0.0,0.7999999999999999,24,5
iris,2,120,30,4,5.3_alt_replace,0.095,0.0,0.7999999999999999,24,5
iris,2,120,30,4,5.3_alt_both,0.101,0.0,0.7999999999999999,24,5
iris,2,120,30,4,5.3_lazy,1.352,0.0,0.7999999999999999,24,5
iris,2,120,30,4,formulation_F,0.438,0.0,96.0,24,5
iris,3,120,30,4,5.1_standard,0.224,0.0,0.7999999999999999,24,13
iris,3,120,30,4,5.2_ES,0.397,0.0,0.7999999999999999,24,14
iris,3,120,30,4,5.3_alt_replace,0.331,0.0,0.7999999999999999,24,12
iris,3,120,30,4,5.3_alt_both,0.332,0.0,0.7999999999999999,24,5
iris,3,120,30,4,5.3_lazy,0.231,0.0,0.7999999999999999,24,14
iris,3,120,30,4,formulation_F,1.765,0.0,96.0,24,14
seeds,2,168,42,6,5.1_standard,0.126,0.0,0.8511904761904765,25,12
seeds,2,168,42,6,5.2_ES,0.302,0.0,0.8511904761904765,25,12
seeds,2,168,42,6,5.3_alt_replace,0.273,0.0,0.8511904761904765,25,12
seeds,2,168,42,6,5.3_alt_both,0.289,0.0,0.8511904761904765,25,12
seeds,2,168,42,6,5.3_lazy,0.077,0.0,0.8511904761904765,25,12
seeds,2,168,42,6,formulation_F,0.977,0.0,143.0,25,12
seeds,3,168,42,6,5.1_standard,0.632,0.0,0.8750000000000002,21,14
seeds,3,168,42,6,5.2_ES,1.591,0.0,0.8750000000000003,21,14
seeds,3,168,42,6,5.3_alt_replace,0.925,0.0,0.8750000000000002,21,14
seeds,3,168,42,6,5.3_alt_both,1.265,0.0,0.8750000000000002,21,14
seeds,3,168,42,6,5.3_lazy,2.428,0.0,0.8750000000000002,21,14
seeds,3,168,42,6,formulation_F,8.97,0.0,147.0,21,14
wine,2,142,36,13,5.1_standard,0.364,0.0,0.922535211267606,11,2
wine,2,142,36,13,5.2_ES,3.122,0.0,0.922535211267606,11,2
wine,2,142,36,13,5.3_alt_replace,0.355,0.0,0.922535211267606,11,2
wine,2,142,36,13,5.3_alt_both,0.371,0.0,0.922535211267606,11,2
wine,2,142,36,13,5.3_lazy,0.22,0.0,0.922535211267606,11,2
wine,2,142,36,13,formulation_F,1.721,0.0,131.0,11,2
wine,3,142,36,13,5.1_standard,5.166,0.0,0.950704225352113,7,1
wine,3,142,36,13,5.2_ES,60.061,5.0612,0.950704225352113,7,1
wine,3,142,36,13,5.3_alt_replace,5.785,0.0,0.950704225352113,7,1
wine,3,142,36,13,5.3_alt_both,7.785,0.0,0.950704225352113,7,1
wine,3,142,36,13,5.3_lazy,14.334,0.0,0.950704225352113,7,1
wine,3,142,36,13,formulation_F,60.076,5.9701,134.0,8,3
glass,2,171,43,9,5.1_standard,0.923,0.0,0.5730994152046783,73,21
glass,2,171,43,9,5.2_ES,2.605,0.0,0.5730994152046783,73,21
glass,2,171,43,9,5.3_alt_replace,0.78,0.0,0.5730994152046783,73,21
glass,2,171,43,9,5.3_alt_both,1.082,0.0,0.5730994152046783,73,21
glass,2,171,43,9,5.3_lazy,0.991,0.0,0.5730994152046782,73,21
glass,2,171,43,9,formulation_F,4.103,0.0,98.0,73,21
glass,3,171,43,9,5.1_standard,36.499,0.0,0.6725146198830407,56,20
glass,3,171,43,9,5.2_ES,60.068,30.7634,0.6666666666666666,57,19
glass,3,171,43,9,5.3_alt_replace,24.433,0.0,0.6725146198830407,56,21
glass,3,171,43,9,5.3_alt_both,29.989,0.0,0.6725146198830407,56,20
glass,3,171,43,9,5.3_lazy,60.01,36.4819,0.6608187134502923,58,20
glass,3,171,43,9,formulation_F,60.052,22.9711,114.0,57,20
ecoli,2,217,55,7,5.1_standard,0.171,0.0,0.7880184331797231,46,10
ecoli,2,217,55,7,5.2_ES,0.313,0.0,0.7880184331797231,46,10
ecoli,2,217,55,7,5.3_alt_replace,0.314,0.0,0.7880184331797231,46,10
ecoli,2,217,55,7,5.3_alt_both,0.356,0.0,0.7880184331797231,46,10
ecoli,2,217,55,7,5.3_lazy,0.229,0.0,0.7880184331797231,46,10
ecoli,2,217,55,7,formulation_F,1.527,0.0,171.0,46,10
ecoli,3,217,55,7,5.1_standard,1.718,0.0,0.8202764976958523,39,11
ecoli,3,217,55,7,5.2_ES,13.019,0.0,0.8202764976958521,39,11
ecoli,3,217,55,7,5.3_alt_replace,2.035,0.0,0.8202764976958524,39,10
ecoli,3,217,55,7,5.3_alt_both,2.71,0.0,0.8202764976958523,39,11
ecoli,3,217,55,7,5.3_lazy,18.989,0.0,0.8202764976958521,39,10
ecoli,3,217,55,7,formulation_F,12.835,0.0,178.0,39,11
